2,4,10,2,8,S,1,94.89059448,0,1,1,1,,,,,,,,,,,,,,,,,,,,
4,4,10,2,7,S,1,103.9505005,1,0,0,0,,,,,,,,,,,,,,,,,,,,
5,4,10,2,6,S,1,49.82948303,0,0,1,1,,,,,,,,,,,,,,,,,,,,
6,4,10,2,7,S,1,154.2568207,1,1,0,1,,,,,,,,,,,,,,,,,,,,
7,4,10,2,7,S,1,16.21246338,0,0,0,0,,,,,,,,,,,,,,,,,,,,
13,8,16,2,13,S,1,2464.056015,1,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,
14,8,16,2,12,S,1,1396.894455,0,1,0,0,1,1,1,1,,,,,,,,,,,,,,,,
17,8,16,2,16,S,1,2264.976501,1,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,
19,8,16,2,14,S,1,1204.013824,0,1,0,0,0,1,1,0,,,,,,,,,,,,,,,,
20,8,16,2,14,S,1,3087.043762,1,0,1,0,1,1,1,1,,,,,,,,,,,,,,,,
21,12,24,2,20,S,1,10740.04173,0,0,0,1,1,0,1,0,1,1,0,1,,,,,,,,,,,,
22,12,24,2,21,S,1,725.030899,0,0,0,0,0,0,0,1,1,1,0,0,,,,,,,,,,,,
25,12,24,2,20,S,1,4031.896591,0,0,0,0,1,1,0,1,1,1,1,0,,,,,,,,,,,,
28,12,24,2,22,S,1,51809.07249,1,0,1,0,1,0,0,0,0,1,1,1,,,,,,,,,,,,
30,12,24,2,20,S,1,21056.17523,0,0,1,1,0,1,1,1,1,1,1,0,,,,,,,,,,,,
31,16,32,2,28,S,1,150127.1725,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,,,,,,,,
33,16,32,2,29,S,1,563182.1156,0,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,,,,,,,,
34,16,32,2,27,S,1,571084.9762,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,,,,,,,,
36,16,32,2,27,S,1,518944.025,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,,,,,,,,
39,16,32,2,27,S,1,1316775.799,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,,,,,,,,
48,18,36,2,30,S,1,7104729.891,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,,,,,,
50,18,36,2,31,S,1,1626349.688,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,,,,,
53,20,40,2,35,S,1,5699899.197,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,,,,
