1000,4,9,2,7,S,-1,127.0771027,1,0,0,0,,,,,,,,,,,,,,,,,,,,
1002,4,9,2,8,S,-1,29.32548523,0,0,0,1,,,,,,,,,,,,,,,,,,,,
1003,4,9,2,8,S,-1,73.90975952,0,1,0,1,,,,,,,,,,,,,,,,,,,,
1007,4,9,2,6,S,-1,29.08706665,0,0,0,1,,,,,,,,,,,,,,,,,,,,
1008,4,9,2,7,S,-1,28.13339233,0,0,0,1,,,,,,,,,,,,,,,,,,,,
1009,4,9,2,8,S,-1,62.94250488,0,1,0,0,,,,,,,,,,,,,,,,,,,,
1010,8,18,2,14,S,-1,2943.992615,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
1011,8,18,2,15,S,-1,1893.997192,0,1,0,1,0,1,1,0,,,,,,,,,,,,,,,,
1012,8,18,2,15,S,-1,2352.952957,0,1,1,0,1,0,1,1,,,,,,,,,,,,,,,,
1017,8,18,2,15,S,-1,3567.218781,1,0,1,0,0,1,1,0,,,,,,,,,,,,,,,,
1018,8,18,2,16,S,-1,717.8783417,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,
1021,12,20,2,22,S,-1,2122.163773,0,0,0,0,0,1,0,1,0,1,1,0,,,,,,,,,,,,
1022,12,20,2,18,S,-1,63152.07481,1,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,
1023,12,20,2,18,S,-1,2809.047699,0,0,0,0,0,1,1,1,0,1,0,1,,,,,,,,,,,,
1024,12,20,2,20,S,-1,81519.12689,1,1,0,0,1,1,0,1,1,1,0,1,,,,,,,,,,,,
1025,12,20,2,16,S,-1,13902.9026,0,0,1,0,0,0,1,0,0,1,1,1,,,,,,,,,,,,
1030,16,30,2,26,S,-1,662782.1922,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,,,,,,,,
1032,16,30,2,31,S,-1,880823.1354,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,,,,,,,,
1033,16,30,2,29,S,-1,1515127.897,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,,,,,,,,
1035,16,30,2,30,S,-1,122309.2079,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,,,,,,,,
1037,16,30,2,29,S,-1,42149.06693,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,,,,,,,,
1039,16,30,2,25,S,-1,173166.0366,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,,,,,,,,
1043,18,32,2,32,S,-1,637256.8607,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,,,,,,
1045,18,32,2,33,S,-1,4227912.903,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,0,0,,,,,,
1046,18,32,2,27,S,-1,6493503.809,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,
1048,18,32,2,32,S,-1,8584526.062,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,,,,,,
1051,20,33,2,33,S,-1,8221521.854,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,,,,
1052,20,33,2,32,S,-1,10993029.12,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,,,,
1053,20,33,2,33,S,-1,656283.8554,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,,,,
1057,20,33,2,34,S,-1,5352770.805,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,,,,
1060,22,38,2,33,S,-1,53949474.81,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,
1061,22,38,2,40,S,-1,144932426,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,,
1063,22,38,2,37,S,-1,725911.8557,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0,1,1,,
1064,22,38,2,36,S,-1,62126414.06,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,,
1065,22,38,2,33,S,-1,6121303.082,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,,
1068,22,38,2,34,S,-1,88471436.74,0,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,,
1071,24,43,2,38,S,-1,176496265.9,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1072,24,43,2,39,S,-1,7152901.173,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0
1001,4,9,2,7,U,-1,193.1190491,,,,,,,,,,,,,,,,,,,,,,,,
1004,4,9,2,8,U,-1,194.7879791,,,,,,,,,,,,,,,,,,,,,,,,
1005,4,9,2,7,U,-1,184.0591431,,,,,,,,,,,,,,,,,,,,,,,,
1006,4,9,2,8,U,-1,190.9732819,,,,,,,,,,,,,,,,,,,,,,,,
1013,8,18,2,15,U,-1,5475.282669,,,,,,,,,,,,,,,,,,,,,,,,
1014,8,18,2,16,U,-1,5559.921265,,,,,,,,,,,,,,,,,,,,,,,,
1015,8,18,2,14,U,-1,5446.910858,,,,,,,,,,,,,,,,,,,,,,,,
1016,8,18,2,13,U,-1,5498.886108,,,,,,,,,,,,,,,,,,,,,,,,
1019,8,18,2,13,U,-1,5406.856537,,,,,,,,,,,,,,,,,,,,,,,,
1020,12,20,2,20,U,-1,98816.15639,,,,,,,,,,,,,,,,,,,,,,,,
